field,parent_type,fortran_type,rank,declared_bounds,decl_file,decl_line,alloc_sites,category,notes
KAPPA_GAS,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,45,"init.f90:679[0:IBP1,0:JBP1,0:KBP1]",radiation,"doc: Radiation absorption coefficient by gas, \f$ \kappa_{ijk} \f$"
CHI_R,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,46,"init.f90:677[0:IBP1,0:JBP1,0:KBP1]",radiation,"doc: Radiative fraction, \f$ \chi_{{\rm r},ijk} \f$"
QR,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,47,"init.f90:678[0:IBP1,0:JBP1,0:KBP1]",radiation,"doc: Radiation source term, \f$ -\nabla \cdot \dot{\mathbf{q}}_{\rm r}'' \f$"
QR_W,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,48,"init.f90:657[0:IBP1,0:JBP1,0:KBP1]",radiation,"doc: Radiation source term, particles and droplets"
RADIATION_EMISSION,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,49,"init.f90:683[0:IBP1,0:JBP1,0:KBP1]",radiation,"doc: Radiation source term, emission"
RADIATION_ABSORPTION,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,50,"init.f90:685[0:IBP1,0:JBP1,0:KBP1]",radiation,"doc: Radiation source term, absorption"
UII,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,51,"init.f90:680[0:IBP1,0:JBP1,0:KBP1]",radiation,"doc: Integrated intensity, \f$ U_{ijk}=\sum_{l=1}^N I_{ijk}^l\delta\Omega^l\f$"
RSUM,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,52,"init.f90:599[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,"doc: \f$ R_0 \sum_\alpha Z_{\alpha,ijk}/W_\alpha \f$"
D_SOURCE,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,53,"init.f90:670[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,doc: Source terms in the expression for the divergence
CSD2,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,54,"init.f90:572[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,doc: \f$ C_s \Delta^2 \f$ in Smagorinsky turbulence expression
CHEM_SUBIT,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,55,"init.f90:575[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,doc: Number of chemistry sub-iterations
CHEM_ACTIVE_CELLS,MESH_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (IBP1*JBP1*KBP1,4)",mesh.f90,56,"init.f90:578[IBP1*JBP1*KBP1,4]",other,"combustion active-cell lists | doc: I , J ,K, igntion_zone info of chemically active cells."
CHEM_ACTIVE_CC,MESH_TYPE,"INTEGER, ALLOCATABLE",2,"deferred(:,:); allocated as (SUM_CC,3)",mesh.f90,57,"geom.f90:14550[SUM_CC,3]",other,"combustion active-cell lists | doc: ICC, JCC, igntion_zone of chemically active cells."
MIX_TIME,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,58,"init.f90:582[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,doc: Mixing-controlled combustion reaction time (s)
STRAIN_RATE,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,59,"init.f90:569[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,doc: Strain rate \f$ |S|_{ijk} \f$ (1/s)
D_Z_MAX,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,60,"init.f90:566[0:IBP1,0:JBP1,0:KBP1]",cell_centred_solution,doc: \f$ \max D_\alpha \f$
PP_RESIDUAL,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,61,"init.f90:641[0:IBP1,0:JBP1,0:KBP1]",other,diagnostics / stability monitors | doc: Pressure Poisson residual (debug)
LES_FILTER_WIDTH,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",mesh.f90,62,"init.f90:799[0:IBP1,0:JBP1,0:KBP1]",grid_geometry,doc: Characteristic cell dimension (m)
ZZ,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1,N_TOTAL_SCALARS)",mesh.f90,64,"init.f90:527[-1:IBP1+1,-1:JBP1+1,-1:KBP1+1,N_TOTAL_SCALARS]",cell_centred_solution,"lumped species, 2 ghost layers, 4th index 1:N_TOTAL_SCALARS init.f90:527; exchanged CODE 4 (2 cells deep) main.f90:3329-3330 | doc: Lumped species, current time step, \f$ Z_{\alpha,ijk}^n \f$"
ZZS,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1,N_TOTAL_SCALARS)",mesh.f90,65,"init.f90:528[-1:IBP1+1,-1:JBP1+1,-1:KBP1+1,N_TOTAL_SCALARS]",cell_centred_solution,"2 ghost layers init.f90:528; exchanged CODE 1 main.f90:3329-3330 | doc: Lumped species, next time step, \f$ Z_{\alpha,ijk}^* \f$"
REAC_SOURCE_TERM,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_TRACKED_SPECIES)",mesh.f90,66,"init.f90:594[0:IBP1,0:JBP1,0:KBP1,N_TRACKED_SPECIES]",cell_centred_solution,"doc: \f$ \dot{m}_{\alpha,ijk}''' \f$"
DEL_RHO_D_DEL_Z,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_TOTAL_SCALARS)",mesh.f90,67,"init.f90:590[0:IBP1,0:JBP1,0:KBP1,N_TOTAL_SCALARS]",cell_centred_solution,doc: \f$ (\nabla \cdot \rho D_\alpha \nabla Z_\alpha)_{ijk} \f$
FX,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS)",mesh.f90,68,"init.f90:611[0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS]",face_centred_flux,"doc: \f$ \rho Z_{\alpha,ijk} \f$ at \f$ x \f$ face of cell"
FY,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS)",mesh.f90,69,"init.f90:612[0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS]",face_centred_flux,"doc: \f$ \rho Z_{\alpha,ijk} \f$ at \f$ y \f$ face of cell"
FZ,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS)",mesh.f90,70,"init.f90:613[0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS]",face_centred_flux,"doc: \f$ \rho Z_{\alpha,ijk} \f$ at \f$ z \f$ face of cell"
Q_REAC,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_REACTIONS)",mesh.f90,71,"init.f90:596[0:IBP1,0:JBP1,0:KBP1,N_REACTIONS]",cell_centred_solution,doc: \f$ \dot{q}_{ijk}''' \f$ for a specified reaction
AVG_DROP_DEN,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES)",mesh.f90,72,"init.f90:658[0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES]",particle,doc: Droplet mass per unit volume for a certain droplet type
AVG_DROP_TMP,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES)",mesh.f90,73,"init.f90:660[0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES]",particle,doc: Average temperature for a certain droplet type
AVG_DROP_RAD,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES)",mesh.f90,74,"init.f90:661[0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES]",particle,doc: Average radius for a certain droplet type
AVG_DROP_AREA,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES)",mesh.f90,75,"init.f90:659[0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES]",particle,doc: Average area for a certain droplet type
M_DOT_PPP,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TRACKED_SPECIES)",mesh.f90,76,"init.f90:671[0:IBP1,0:JBP1,0:KBP1,1:N_TRACKED_SPECIES]",cell_centred_solution,"doc: Mass source term, \f$ \dot{m}_{\alpha,ijk}''' \f$"
ADV_FX,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",mesh.f90,77,"init.f90:618[0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS]",face_centred_flux,
ADV_FY,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",mesh.f90,78,"init.f90:619[0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS]",face_centred_flux,
ADV_FZ,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",mesh.f90,79,"init.f90:620[0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS]",face_centred_flux,
DIF_FX,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",mesh.f90,80,"init.f90:621[0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS]",face_centred_flux,
DIF_FY,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",mesh.f90,81,"init.f90:622[0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS]",face_centred_flux,
DIF_FZ,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",mesh.f90,82,"init.f90:623[0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS]",face_centred_flux,
DIF_FXS,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",mesh.f90,83,"init.f90:624[0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS]",face_centred_flux,
DIF_FYS,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",mesh.f90,84,"init.f90:625[0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS]",face_centred_flux,
DIF_FZS,MESH_TYPE,"REAL(EB), ALLOCATABLE",4,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",mesh.f90,85,"init.f90:626[0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS]",face_centred_flux,
POIS_PTB,MESH_TYPE,REAL(EB),0,scalar,mesh.f90,87,,pressure_solver,
POIS_ERR,MESH_TYPE,REAL(EB),0,scalar,mesh.f90,87,,pressure_solver,
SAVE1,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (-3:M%LSAVE),mesh.f90,88,init.f90:2443[-3:M%LSAVE],pressure_solver,
SAVE2,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); no ALLOCATE found,mesh.f90,88,,pressure_solver,ALLOCATABLE but never ALLOCATEd; only aliased mesh.f90:574 (likely dead) | ALLOCATABLE but no ALLOCATE/MOVE_ALLOC found in Source/*.f90 (dead or allocated implicitly)
WORK,MESH_TYPE,"REAL(EB), ALLOCATABLE",1,deferred(:); allocated as (M%LWORK),mesh.f90,88,init.f90:2444[M%LWORK],pressure_solver,
PRHS,MESH_TYPE,"REAL(EB), ALLOCATABLE",3,"deferred(:,:,:); allocated as (ITRN,JTRN,KTRN)",mesh.f90,89,"init.f90:2445[ITRN,JTRN,KTRN]; pres.f90:1287[ITRN,JTRN,KTRN]",pressure_solver,"Poisson RHS sized (ITRN,JTRN,KTRN) (1-based, no ghosts) init.f90:2445; re-allocated pres.f90:1287 | doc: Right hand side of Poisson (pressure) equation"
BXS,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (JDIM,KBP1)",mesh.f90,90,"init.f90:2448[JDIM,KBP1]; pres.f90:1290[JDIM,KBP1]",pressure_solver,"Poisson BC values on x=XS face, (JDIM,KBP1) 1-based init.f90:2448; dealloc/re-alloc same shape in ULMAT init pres.f90:1280,1270"
BXF,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (JDIM,KBP1)",mesh.f90,90,"init.f90:2449[JDIM,KBP1]; pres.f90:1291[JDIM,KBP1]",pressure_solver,"Poisson BC values on x=XF face, (JDIM,KBP1) init.f90:2449; re-alloc pres.f90:1291"
BYS,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (IBP1,KBP1)",mesh.f90,90,"init.f90:2450[IBP1,KBP1]; pres.f90:1292[IBP1,KBP1]",pressure_solver,"Poisson BC values on y=YS face, (IBP1,KBP1) init.f90:2450; re-alloc pres.f90:1292"
BYF,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (IBP1,KBP1)",mesh.f90,90,"init.f90:2451[IBP1,KBP1]; pres.f90:1293[IBP1,KBP1]",pressure_solver,"Poisson BC values on y=YF face, (IBP1,KBP1) init.f90:2451; re-alloc pres.f90:1293"
BZS,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (IBP1,JDIM)",mesh.f90,90,"init.f90:2452[IBP1,JDIM]; pres.f90:1294[IBP1,JDIM]",pressure_solver,"Poisson BC values on z=ZS face, (IBP1,JDIM) init.f90:2452; re-alloc pres.f90:1294"
BZF,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (IBP1,JDIM)",mesh.f90,90,"init.f90:2453[IBP1,JDIM]; pres.f90:1295[IBP1,JDIM]",pressure_solver,"Poisson BC values on z=ZF face, (IBP1,JDIM) init.f90:2453; re-alloc pres.f90:1295"
BXST,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (KBP1,JTRN) | (KBP1,JBP1)",mesh.f90,90,"init.f90:2402[KBP1,JTRN]; init.f90:2420[KBP1,JBP1]",pressure_solver,
BXFT,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (KBP1,JTRN) | (KBP1,JBP1)",mesh.f90,90,"init.f90:2404[KBP1,JTRN]; init.f90:2422[KBP1,JBP1]",pressure_solver,
BYST,MESH_TYPE,"REAL(EB), ALLOCATABLE",2,"deferred(:,:); allocated as (KBP1,IBP1)",mesh.f90,90,"init.f90:2406[KBP1,IBP1]",pressure_solver,
