routine,file,codes,stage,start_line,end_line,process_scope,condition,mesh_fields,omesh_fields,buffers,mpi_calls,purpose,purpose_src
MESH_CC_EXCHANGE,ccib.f90,5,pack_send,4455,4479,both,CODE==5 .AND. CORRECTOR .AND. M3%NICF_S(1)>0,CUT_CELL:r CUT_FACE:prw OMESH:rw,ICF_UFFB_CF_S:r NICF_S:r REAL_SEND_PKG112:w,REAL_SEND_PKG112,,CC_IBM pressure iteration: gas cut-face FV (REQ112),ccib.f90:4455
MESH_CC_EXCHANGE,ccib.f90,6,pack_send,4483,4509,both,CODE==6 .AND. M3%NICF_S(1)>0,CUT_CELL:r CUT_FACE:prw OMESH:rw,ICF_UFFB_CF_S:r NICF_S:r REAL_SEND_PKG112:w,REAL_SEND_PKG112,,"CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4483
MESH_CC_EXCHANGE,ccib.f90,"3,6",pack_send,4510,4583,both,(CODE==3 .OR. CODE==6) .AND. M3%NLKF_S>0,FCVAR:r OMESH:prw RC_FACE:r U:pr UN_LNK:r US:pr V:pr VS:pr W:pr WS:pr,I_MAX_S:r I_MIN_S:r J_MAX_S:r J_MIN_S:r K_MAX_S:r K_MIN_S:r NICF_S:r NLKF_S:r REAL_SEND_PKG112:w U_LNK:pw V_LNK:pw W_LNK:pw,REAL_SEND_PKG112,,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13); CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4510
MESH_CC_EXCHANGE,ccib.f90,6,pack_send,4584,4658,both,CODE==6 .AND. M3%NFCC_S(1)>0,CC_IBEDGE:rw CC_RCEDGE:rw CUT_FACE:rw OMESH:prw U:r V:r W:r,AXS_FC_S:r IFEP_R_1:r IFEP_R_3:r IFEP_R_4:r IIO_FC_S:r JJO_FC_S:r KKO_FC_S:r NFCC_S:r NFEP_R:r REAL_SEND_PKG12:w,REAL_SEND_PKG12,,"CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4584
MESH_CC_EXCHANGE,ccib.f90,3,pack_send,4662,4689,both,CODE==3 .AND. M3%NFCC_S(2)>0,H:r MU:r OMESH:prw RHO_0:r WS:r,IIO_CC_S:r JJO_CC_S:r KKO_CC_S:r NFCC_S:r REAL_RECV_PKG13:w REAL_SEND_PKG13:w,REAL_RECV_PKG13 REAL_SEND_PKG13,,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13)",ccib.f90:4662
MESH_CC_EXCHANGE,ccib.f90,6,pack_send,4693,4720,both,CODE==6 .AND. M3%NFCC_S(2)>0,HS:r MU:r OMESH:prw RHO_0:r W:r,IIO_CC_S:r JJO_CC_S:r KKO_CC_S:r NFCC_S:r REAL_RECV_PKG13:w REAL_SEND_PKG13:w,REAL_RECV_PKG13 REAL_SEND_PKG13,,"CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4693
MESH_CC_EXCHANGE,ccib.f90,"1,4",start_wait,4726,4729,n_mpi>1,N_MPI_PROCESSES>1 .AND. (CODE==1.OR.CODE==4) .AND. N_REQ11>0,,,REQ11,CC_TIMEOUT MPI_STARTALL,"CC_IBM PREDICTOR scalars (cut-cell RHOS/ZZS, REQ11) and cut-face data; CC_IBM CORRECTOR scalars (REQ11)",ccib.f90:4726
MESH_CC_EXCHANGE,ccib.f90,"3,5,6",start_wait,4732,4735,n_mpi>1,"N_MPI_PROCESSES>1 .AND. ANY(CODE==(/3,5,6/)) .AND. N_REQ112>0",,,REQ112,CC_TIMEOUT MPI_STARTALL,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13); CC_IBM pressure iteration: gas cut-face FV (REQ112); CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4732
MESH_CC_EXCHANGE,ccib.f90,"3,6",start_wait,4738,4741,n_mpi>1,N_MPI_PROCESSES>1 .AND. (CODE==3.OR.CODE==6) .AND. N_REQ12>0,,,REQ12,CC_TIMEOUT MPI_STARTALL,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13); CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4738
MESH_CC_EXCHANGE,ccib.f90,"1,3,4,6",start_wait,4744,4747,n_mpi>1,N_MPI_PROCESSES>1 .AND. (CODE==1.OR.CODE==4.OR.CODE==3.OR.CODE==6) .AND. N_REQ13>0,,,REQ13,CC_TIMEOUT MPI_STARTALL,"CC_IBM PREDICTOR scalars (cut-cell RHOS/ZZS, REQ11) and cut-face data; CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13); CC_IBM CORRECTOR scalars (REQ11); CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4744
MESH_CC_EXCHANGE,ccib.f90,1,unpack,4766,4785,both,CODE==1 .AND. M2%NICC_R(1)>0,CUT_CELL:rw OMESH:r,ICC_UNKZ_CC_R:r NICC_R:r REAL_RECV_PKG11:r,REAL_RECV_PKG11,,"CC_IBM PREDICTOR scalars (cut-cell RHOS/ZZS, REQ11) and cut-face data",ccib.f90:4766
MESH_CC_EXCHANGE,ccib.f90,"1,4",unpack,4787,4804,both,(CODE==1 .OR. CODE==4) .AND. M2%NFCC_R(2)>0,CUT_FACE:rw OMESH:r,IFEP_R_2:r NFCC_R:r NFEP_R:r REAL_RECV_PKG13:r,REAL_RECV_PKG13,,"CC_IBM PREDICTOR scalars (cut-cell RHOS/ZZS, REQ11) and cut-face data; CC_IBM CORRECTOR scalars (REQ11)",ccib.f90:4787
MESH_CC_EXCHANGE,ccib.f90,5,unpack,4807,4829,both,CODE==5 .AND. M2%NICF_R(1)>0,CUT_CELL:w CUT_FACE:prw OMESH:r,ICF_UFFB_CF_R:r NICF_R:r REAL_RECV_PKG112:r,REAL_RECV_PKG112,,CC_IBM pressure iteration: gas cut-face FV (REQ112),ccib.f90:4807
MESH_CC_EXCHANGE,ccib.f90,3,unpack,4831,4853,both,CODE==3 .AND. M2%NFCC_R(1)>0,CC_IBEDGE:rw CC_RCEDGE:rw CUT_FACE:rw OMESH:r,IFEP_R_1:r IFEP_R_3:r IFEP_R_4:r NFCC_R:r NFEP_R:r REAL_RECV_PKG12:r,REAL_RECV_PKG12,,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13)",ccib.f90:4831
MESH_CC_EXCHANGE,ccib.f90,3,unpack,4854,4872,both,CODE==3 .AND. M2%NICF_R(1)>0,CUT_CELL:w CUT_FACE:prw OMESH:r,ICF_UFFB_CF_R:r NICF_R:r REAL_RECV_PKG112:r,REAL_RECV_PKG112,,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13)",ccib.f90:4854
MESH_CC_EXCHANGE,ccib.f90,4,unpack,4876,4895,both,CODE==4 .AND. M2%NICC_R(1)>0,CUT_CELL:rw OMESH:r,ICC_UNKZ_CC_R:r NICC_R:r REAL_RECV_PKG11:r,REAL_RECV_PKG11,,CC_IBM CORRECTOR scalars (REQ11),ccib.f90:4876
MESH_CC_EXCHANGE,ccib.f90,6,unpack,4897,4919,both,CODE==6 .AND. M2%NFCC_R(1)>0,CC_IBEDGE:rw CC_RCEDGE:rw CUT_FACE:rw OMESH:r,IFEP_R_1:r IFEP_R_3:r IFEP_R_4:r NFCC_R:r NFEP_R:r REAL_RECV_PKG12:r,REAL_RECV_PKG12,,"CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4897
MESH_CC_EXCHANGE,ccib.f90,6,unpack,4920,4938,both,CODE==6 .AND. M2%NICF_R(1)>0,CUT_CELL:w CUT_FACE:prw OMESH:r,ICF_UFFB_CF_R:r NICF_R:r REAL_RECV_PKG112:r,REAL_RECV_PKG112,,"CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4920
MESH_CC_EXCHANGE,ccib.f90,"3,6",unpack,4939,4952,both,(CODE==3.OR.CODE==6) .AND. M2%NLKF_R>0,OMESH:r,I_MAX_R:r I_MIN_R:r J_MAX_R:r J_MIN_R:r K_MAX_R:r K_MIN_R:r NICF_R:r NLKF_R:r REAL_RECV_PKG112:r U_LNK:pw V_LNK:pw W_LNK:pw,REAL_RECV_PKG112,,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13); CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4939
MESH_CC_EXCHANGE,ccib.f90,"3,6",unpack,4958,4984,both, (CODE==3 .OR. CODE==6) .AND. M2%NFCC_R(2)>0,CC_IBEDGE:rw CUT_CELL:rw N_CUTCELL_MESH:r OMESH:r,IFEP_R_5:r NFCC_R:r NFEP_R:r REAL_RECV_PKG13:r,REAL_RECV_PKG13,,"CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13); CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4958
MESH_CC_EXCHANGE,ccib.f90,"1,3,4,6",post_process,4992,4997,both,CODE==1 .OR. CODE==4 | ELSEIF CODE==3 .OR. CODE==6,,,,,"CC_IBM PREDICTOR scalars (cut-cell RHOS/ZZS, REQ11) and cut-face data; CC_IBM end of PREDICTOR: cut-face velocities, RCEDGE/IBEDGE velocities, cut-cell H (REQ112/REQ12/REQ13); CC_IBM CORRECTOR scalars (REQ11); CC_IBM end of CORRECTOR: cut-face velocities, edges, back CFACE data (EXCHANGE_BACK_CFACE_DATA)",ccib.f90:4992
POST_RECEIVES,main.f90,0,post_recv,2969,3027,both,CODE==0,OMESH:ir,I_MAX_R:r I_MIN_R:r J_MAX_R:r J_MIN_R:r K_MAX_R:r K_MIN_R:r NIC_R:r N_INTERNAL_OBST:aw PARTICLE_RECV_BUFFER:pr REAL_RECV_PKG1:alawi REAL_RECV_PKG14:alawi REAL_RECV_PKG3:alawi REAL_RECV_PKG4:alawi REAL_RECV_PKG7:alawi REAL_RECV_PKG8:al,PARTICLE_RECV_BUFFER REAL_RECV_PKG1 REAL_RECV_PKG14 REAL_RECV_PKG3 REAL_RECV_PKG4 REAL_RECV_PKG7 REAL_RECV_PKG8 REQ1 REQ14 REQ15 REQ2 REQ3 REQ4 REQ7,MPI_RECV_INIT,initialise send/recv buffers and persistent MPI requests (REQ1..REQ15),main.f90:2969; main.f90:3163
POST_RECEIVES,main.f90,8,post_recv,3031,3038,both,CODE==8,OMESH:r,THIN_WALL_SEND_BUFFER:pr WALL_SEND_BUFFER:pr,THIN_WALL_SEND_BUFFER WALL_SEND_BUFFER,MPI_IRECV,setup: number of WALL/THIN_WALL cells each mesh expects its neighbour to send (back-side HT3D/wall coupling),main.f90:3226; main.f90:3622; main.f90:2369-2370
POST_RECEIVES,main.f90,9,post_recv,3041,3044,both,CODE==9 .AND. OS%N_ITEMS>0,,WALL_SEND_BUFFER:ir,,MPI_IRECV,setup: ITEM_INDEX and SURF_INDEX lists of the requested WALL/THIN_WALL cells,main.f90:3041-3050; main.f90:3623; main.f90:2394-2395
POST_RECEIVES,main.f90,9,post_recv,3047,3050,both,CODE==9 .AND. OS%N_ITEMS>0,,THIN_WALL_SEND_BUFFER:ir,,MPI_IRECV,setup: ITEM_INDEX and SURF_INDEX lists of the requested WALL/THIN_WALL cells,main.f90:3041-3050; main.f90:3623; main.f90:2394-2395
POST_RECEIVES,main.f90,19,post_recv,3053,3057,both,CODE==19 .AND. OS%N_ITEMS>0,,WALL_RECV_BUFFER:r,,MPI_IRECV,setup: sizes of the real/integer/logical WALL and THIN_WALL buffer arrays,main.f90:3053-3064; main.f90:3624; main.f90:2476-2477
POST_RECEIVES,main.f90,19,post_recv,3060,3064,both,CODE==19 .AND. OS%N_ITEMS>0,,THIN_WALL_RECV_BUFFER:r,,MPI_IRECV,setup: sizes of the real/integer/logical WALL and THIN_WALL buffer arrays,main.f90:3053-3064; main.f90:3624; main.f90:2476-2477
POST_RECEIVES,main.f90,10,post_recv,3067,3074,both,CODE==10 .AND. OS%N_ITEMS>0,,WALL_RECV_BUFFER:r,REQ6,MPI_RECV_INIT,"setup: persistent SEND/RECV requests (REQ6) for WALL/THIN_WALL buffer arrays, later used by CODE 6",main.f90:3067; main.f90:3286; main.f90:2552-2553
POST_RECEIVES,main.f90,10,post_recv,3077,3084,both,CODE==10 .AND. OS%N_ITEMS>0,,THIN_WALL_RECV_BUFFER:r,REQ6,MPI_RECV_INIT,"setup: persistent SEND/RECV requests (REQ6) for WALL/THIN_WALL buffer arrays, later used by CODE 6",main.f90:3067; main.f90:3286; main.f90:2552-2553
POST_RECEIVES,main.f90,11,post_recv,3089,3093,both,CODE==11 .AND. OS%N_ITEMS>0,,PARTICLE_RECV_BUFFER:r,,MPI_IRECV,particle buffers (particles leaving a mesh),main.f90:3523; main.f90:3625
POST_RECEIVES,main.f90,16,post_recv,3097,3100,both,CODE==16 .AND. M3%N_INTERNAL_OBST>0,OMESH:r,N_INTERNAL_OBST:r REAL_RECV_PKG8:aw,REAL_RECV_PKG8,MPI_IRECV,OBST owner unpacks mass lost by exterior cell faces (PKG8),main.f90:3941; main.f90:3626
POST_RECEIVES,main.f90,18,post_recv,3101,3104,both,CODE==18 .AND. M3%N_EXTERNAL_OBST>0,OMESH:r,N_EXTERNAL_OBST:r REAL_RECV_PKG8:aw,REAL_RECV_PKG8,MPI_IRECV,meshes holding exterior faces receive the new OBST mass,main.f90:3943; main.f90:3627
MESH_EXCHANGE,main.f90,0,pack_send,3163,3224,both,CODE==0,OMESH:ir,I_MAX_S:r I_MIN_S:r J_MAX_S:r J_MIN_S:r K_MAX_S:r K_MIN_S:r NIC_S:r N_EXTERNAL_OBST:a PARTICLE_SEND_BUFFER:pr REAL_SEND_PKG1:aali REAL_SEND_PKG14:aali REAL_SEND_PKG3:aali REAL_SEND_PKG4:aali REAL_SEND_PKG7:aali REAL_SEND_PKG8:al,PARTICLE_SEND_BUFFER REAL_SEND_PKG1 REAL_SEND_PKG14 REAL_SEND_PKG3 REAL_SEND_PKG4 REAL_SEND_PKG7 REAL_SEND_PKG8 REQ1 REQ14 REQ15 REQ2 REQ3 REQ4 REQ7,MPI_SEND_INIT,initialise send/recv buffers and persistent MPI requests (REQ1..REQ15),main.f90:2969; main.f90:3163
MESH_EXCHANGE,main.f90,8,pack_send,3228,3243,both,CODE==8,OMESH:prw,THIN_WALL_RECV_BUFFER:pr THIN_WALL_SEND_BUFFER:w WALL_RECV_BUFFER:pr WALL_SEND_BUFFER:w,THIN_WALL_RECV_BUFFER THIN_WALL_SEND_BUFFER WALL_RECV_BUFFER WALL_SEND_BUFFER,MPI_ISEND,setup: number of WALL/THIN_WALL cells each mesh expects its neighbour to send (back-side HT3D/wall coupling),main.f90:3226; main.f90:3622; main.f90:2369-2370
MESH_EXCHANGE,main.f90,9,pack_send,3246,3249,mpi_only,CODE==9 .AND. OS%N_ITEMS>0 .AND. RNODE/=SNODE,,WALL_RECV_BUFFER:ir,,MPI_ISEND,setup: ITEM_INDEX and SURF_INDEX lists of the requested WALL/THIN_WALL cells,main.f90:3041-3050; main.f90:3623; main.f90:2394-2395
MESH_EXCHANGE,main.f90,9,pack_send,3252,3255,mpi_only,CODE==9 .AND. OS%N_ITEMS>0 .AND. RNODE/=SNODE,,THIN_WALL_RECV_BUFFER:ir,,MPI_ISEND,setup: ITEM_INDEX and SURF_INDEX lists of the requested WALL/THIN_WALL cells,main.f90:3041-3050; main.f90:3623; main.f90:2394-2395
MESH_EXCHANGE,main.f90,19,pack_send,3258,3269,both,CODE==19 .AND. OS%N_ITEMS>0,OMESH:r,WALL_RECV_BUFFER:pw WALL_SEND_BUFFER:r,WALL_RECV_BUFFER,MPI_ISEND,setup: sizes of the real/integer/logical WALL and THIN_WALL buffer arrays,main.f90:3053-3064; main.f90:3624; main.f90:2476-2477
MESH_EXCHANGE,main.f90,19,pack_send,3272,3283,both,CODE==19 .AND. OS%N_ITEMS>0,OMESH:r,THIN_WALL_RECV_BUFFER:pw THIN_WALL_SEND_BUFFER:r,THIN_WALL_RECV_BUFFER,MPI_ISEND,setup: sizes of the real/integer/logical WALL and THIN_WALL buffer arrays,main.f90:3053-3064; main.f90:3624; main.f90:2476-2477
MESH_EXCHANGE,main.f90,10,pack_send,3286,3290,mpi_only,CODE==10 .AND. OS%N_ITEMS>0 .AND. RNODE/=SNODE,,WALL_SEND_BUFFER:r,REQ6,MPI_SEND_INIT,"setup: persistent SEND/RECV requests (REQ6) for WALL/THIN_WALL buffer arrays, later used by CODE 6",main.f90:3067; main.f90:3286; main.f90:2552-2553
MESH_EXCHANGE,main.f90,10,pack_send,3293,3297,mpi_only,CODE==10 .AND. OS%N_ITEMS>0 .AND. RNODE/=SNODE,,THIN_WALL_SEND_BUFFER:r,REQ6,MPI_SEND_INIT,"setup: persistent SEND/RECV requests (REQ6) for WALL/THIN_WALL buffer arrays, later used by CODE 6",main.f90:3067; main.f90:3286; main.f90:2552-2553
MESH_EXCHANGE,main.f90,"1,4",pack_send,3301,3348,both,(CODE==1.OR.CODE==4) .AND. M3%NIC_S>0,D:pr DS:pr KRES:r MU:r OMESH:prw Q:r RHO:pr RHOS:pr ZZ:pr ZZS:pr,D:pw DS:pw IIO_S:r IOR_S:r JJO_S:r KKO_S:r KRES:w MU:w NIC_S:r Q:w REAL_SEND_PKG1:w RHO:pw RHOS:pw ZZ:pw ZZS:pw,REAL_SEND_PKG1,,"PREDICTOR: RHOS, ZZS, DS (+MU, KRES, Q...) 2 cells deep at interpolated boundaries; CORRECTOR: RHO, ZZ, D (+MU, KRES, Q...)",main.f90:3299; main.f90:3636; main.f90:3299; main.f90:3638
MESH_EXCHANGE,main.f90,5,pack_send,3352,3395,both,CODE==5 .AND. M3%NIC_S>0,FVX:r FVY:r FVZ:r H:pr HS:pr OMESH:prw,FVX:w FVY:w FVZ:w H:pw HS:pw IIO_S:r IOR_S:r JJO_S:r KKO_S:r NIC_S:r REAL_SEND_PKG7:w,REAL_SEND_PKG7,,inside pressure iteration: FVX/FVY/FVZ and H (PREDICTOR) / HS (CORRECTOR),main.f90:3350; main.f90:3658
MESH_EXCHANGE,main.f90,20,pack_send,3399,3419,both,CODE==20 .AND. M3%NIC_S>0,FVX_D:r FVY_D:r FVZ_D:r OMESH:prw,FVX_D:w FVY_D:w FVZ_D:w IIO_S:r IOR_S:r JJO_S:r KKO_S:r NIC_S:r REAL_SEND_PKG4:w,REAL_SEND_PKG4,,particle drag FVX_D/FVY_D/FVZ_D at interpolated boundaries,main.f90:3397; main.f90:3663
MESH_EXCHANGE,main.f90,"3,6",pack_send,3423,3456,both,(CODE==3.OR.CODE==6) .AND. M3%NIC_S>0,H:pr HS:pr OMESH:prw U:pr US:pr V:pr VS:pr W:pr WS:pr,H:pw HS:pw I_MAX_S:r I_MIN_S:r J_MAX_S:r J_MIN_S:r K_MAX_S:r K_MIN_S:r NIC_S:r REAL_SEND_PKG3:w U:pw US:pw V:pw VS:pw W:pw WS:pw,REAL_SEND_PKG3,,"end of PREDICTOR: HS, US, VS, WS (pressure/velocity); end of CORRECTOR: H, U, V, W; plus back-wall (WALL/THIN_WALL) data",main.f90:3421; main.f90:3650; main.f90:3421; main.f90:3458; main.f90:3652; main.f90:3668
MESH_EXCHANGE,main.f90,6,pack_send,3461,3470,mpi_only,CODE==6 .AND. RNODE/=SNODE .AND. OS%N_ITEMS>0,WALL:ap,WALL_SEND_BUFFER:ar,,,"end of CORRECTOR: H, U, V, W; plus back-wall (WALL/THIN_WALL) data",main.f90:3421; main.f90:3458; main.f90:3652; main.f90:3668
MESH_EXCHANGE,main.f90,6,pack_send,3473,3482,mpi_only,CODE==6 .AND. RNODE/=SNODE .AND. OS%N_ITEMS>0,THIN_WALL:ap,THIN_WALL_SEND_BUFFER:ar,,,"end of CORRECTOR: H, U, V, W; plus back-wall (WALL/THIN_WALL) data",main.f90:3421; main.f90:3458; main.f90:3652; main.f90:3668
MESH_EXCHANGE,main.f90,2,pack_send,3486,3510,both,CODE==2 .AND. M3%NIC_S>0,ANGLE_INC_COUNTER:r OMESH:prw,IL_R:w IL_S:r IOR_S:r NIC_S:r REAL_SEND_PKG5:w,IL_R IL_S REAL_SEND_PKG5,,radiation intensities IL at interpolated boundaries,main.f90:3484; main.f90:3673
MESH_EXCHANGE,main.f90,7,pack_send,3514,3521,same_process_only,CODE==7 .AND. RNODE==SNODE,OMESH:pr,PARTICLE_RECV_BUFFER:pw PARTICLE_SEND_BUFFER:r,PARTICLE_RECV_BUFFER PARTICLE_SEND_BUFFER,,number of particle orphans,main.f90:3512; main.f90:3644
MESH_EXCHANGE,main.f90,11,pack_send,3525,3543,both,CODE==11 .AND. M3%PARTICLE_SEND_BUFFER%N_ITEMS>0,OMESH:prw,PARTICLE_RECV_BUFFER:w PARTICLE_SEND_BUFFER:prw,PARTICLE_RECV_BUFFER PARTICLE_SEND_BUFFER,MPI_ISEND,particle buffers (particles leaving a mesh),main.f90:3523; main.f90:3625
MESH_EXCHANGE,main.f90,14,pack_send,3547,3583,both,CODE==14 .AND. M3%NIC_S>0,OMESH:prw PHI1_LS:pr PHI_LS:pr U_LS:r V_LS:r Z_LS:r,IIO_S:r IOR_S:r JJO_S:r NIC_S:r PHI1_LS:w PHI_LS:w REAL_SEND_PKG14:w U_LS:w V_LS:w Z_LS:w,REAL_SEND_PKG14,,level-set boundary values,main.f90:3545; main.f90:3678
MESH_EXCHANGE,main.f90,15,pack_send,3587,3592,both,CODE==15,OMESH:prw,N_EXTERNAL_OBST:r N_INTERNAL_OBST:w,,,mass loss of OBSTs that only border the current mesh,main.f90:3585; main.f90:3683
MESH_EXCHANGE,main.f90,16,pack_send,3594,3602,both,CODE==16 .AND. M3%N_EXTERNAL_OBST>0,OMESH:prw,N_EXTERNAL_OBST:r REAL_RECV_PKG8:w REAL_SEND_PKG8:ar,REAL_RECV_PKG8 REAL_SEND_PKG8,MPI_ISEND,OBST owner unpacks mass lost by exterior cell faces (PKG8),main.f90:3941; main.f90:3626
MESH_EXCHANGE,main.f90,18,pack_send,3604,3612,both,CODE==18 .AND. M3%N_INTERNAL_OBST>0,OMESH:prw,N_INTERNAL_OBST:r REAL_RECV_PKG8:w REAL_SEND_PKG8:ar,REAL_RECV_PKG8 REAL_SEND_PKG8,MPI_ISEND,meshes holding exterior faces receive the new OBST mass,main.f90:3943; main.f90:3627
MESH_EXCHANGE,main.f90,"1,4",start_wait,3633,3640,n_mpi>1,N_MPI_PROCESSES>1 .AND. (CODE==1.OR.CODE==4) .AND. N_REQ1>0,,,REQ1,MPI_STARTALL TIMEOUT,"PREDICTOR: RHOS, ZZS, DS (+MU, KRES, Q...) 2 cells deep at interpolated boundaries; CORRECTOR: RHO, ZZ, D (+MU, KRES, Q...)",main.f90:3299; main.f90:3636; main.f90:3299; main.f90:3638
