pointer,decl,fortran_type,rank,remap_line,target,target_decl,target_alloc_bounds,category,n_routines_using,n_runtime_routines,sample_routines,notes
HS,mesh.f90:368,REAL(EB),3,mesh.f90:523,M%HS,mesh.f90:28,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,28,25,CC_PROJECT_VELOCITY(ccib.f90); CC_COMPUTE_VELOCITY_ERROR(ccib.f90); COMPUTE_VELOCITY_ERROR(pres.f90); GAS_PHASE_OUTPUT(dump.f90); COPY_H_OMESH_TO_MESH(pres.f90); VELOCITY_CORRECTOR(velo.f90),
KRES,mesh.f90:368,REAL(EB),3,mesh.f90:524,M%KRES,mesh.f90:29,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,25,24,COMPUTE_VISCOSITY(velo.f90); PRESSURE_SOLVER_CHECK_RESIDUALS(pres.f90); PRESSURE_SOLVER_CHECK_RESIDUALS_U(pres.f90); GET_LHS_CUTCELL(ccib.f90); GAS_PHASE_OUTPUT(dump.f90); SOLID_PHASE_OUTPUT(dump.f90),
FVX,mesh.f90:368,REAL(EB),3,mesh.f90:525,M%FVX,mesh.f90:30,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",face_centred_flux,29,29,PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); CC_VELOCITY_FLUX(ccib.f90); NO_FLUX(velo.f90); CC_BAROCLINIC_CORRECTION(ccib.f90); CC_PROJECT_VELOCITY(ccib.f90); CC_MATCH_VELOCITY_FLUX(ccib.f90),
FVY,mesh.f90:368,REAL(EB),3,mesh.f90:526,M%FVY,mesh.f90:31,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",face_centred_flux,26,26,PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); CC_VELOCITY_FLUX(ccib.f90); NO_FLUX(velo.f90); CC_BAROCLINIC_CORRECTION(ccib.f90); CC_PROJECT_VELOCITY(ccib.f90); CC_MATCH_VELOCITY_FLUX(ccib.f90),
FVZ,mesh.f90:368,REAL(EB),3,mesh.f90:527,M%FVZ,mesh.f90:32,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",face_centred_flux,29,29,PRESSURE_SOLVER_COMPUTE_RHS(pres.f90); CC_VELOCITY_FLUX(ccib.f90); NO_FLUX(velo.f90); CC_BAROCLINIC_CORRECTION(ccib.f90); CC_PROJECT_VELOCITY(ccib.f90); CC_MATCH_VELOCITY_FLUX(ccib.f90),
FVX_B,mesh.f90:368,REAL(EB),3,mesh.f90:528,M%FVX_B,mesh.f90:33,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",face_centred_flux,10,10,CC_BAROCLINIC_CORRECTION(ccib.f90); BAROCLINIC_CORRECTION(velo.f90); PRESSURE_SOLVER_CHECK_RESIDUALS(pres.f90); PRESSURE_SOLVER_CHECK_RESIDUALS_U(pres.f90); GET_RHSLHS_POISSON_RC(ccib.f90); GET_LINKED_FV(ccib.f90),
FVY_B,mesh.f90:368,REAL(EB),3,mesh.f90:529,M%FVY_B,mesh.f90:34,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",face_centred_flux,10,10,CC_BAROCLINIC_CORRECTION(ccib.f90); BAROCLINIC_CORRECTION(velo.f90); PRESSURE_SOLVER_CHECK_RESIDUALS(pres.f90); PRESSURE_SOLVER_CHECK_RESIDUALS_U(pres.f90); GET_RHSLHS_POISSON_RC(ccib.f90); GET_LINKED_FV(ccib.f90),
FVZ_B,mesh.f90:368,REAL(EB),3,mesh.f90:530,M%FVZ_B,mesh.f90:35,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",face_centred_flux,10,10,CC_BAROCLINIC_CORRECTION(ccib.f90); BAROCLINIC_CORRECTION(velo.f90); PRESSURE_SOLVER_CHECK_RESIDUALS(pres.f90); PRESSURE_SOLVER_CHECK_RESIDUALS_U(pres.f90); GET_RHSLHS_POISSON_RC(ccib.f90); GET_LINKED_FV(ccib.f90),
FVX_D,mesh.f90:368,REAL(EB),3,mesh.f90:531,M%FVX_D,mesh.f90:36,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",face_centred_flux,6,6,PARTICLE_MOMENTUM_TRANSFER(part.f90); CLIP_PARTICLE_DRAG(part.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); MOVE_PARTICLES(part.f90); MOVE_IN_GAS(part.f90),
FVY_D,mesh.f90:368,REAL(EB),3,mesh.f90:532,M%FVY_D,mesh.f90:37,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",face_centred_flux,6,6,PARTICLE_MOMENTUM_TRANSFER(part.f90); CLIP_PARTICLE_DRAG(part.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); MOVE_PARTICLES(part.f90); MOVE_IN_GAS(part.f90),
FVZ_D,mesh.f90:368,REAL(EB),3,mesh.f90:533,M%FVZ_D,mesh.f90:38,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",face_centred_flux,6,6,PARTICLE_MOMENTUM_TRANSFER(part.f90); CLIP_PARTICLE_DRAG(part.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); MOVE_PARTICLES(part.f90); MOVE_IN_GAS(part.f90),
RHO,mesh.f90:368,REAL(EB),3,mesh.f90:534,M%RHO,mesh.f90:39,"deferred(:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1)",cell_centred_solution,68,60,GAS_PHASE_OUTPUT(dump.f90); SOLID_PHASE_OUTPUT(dump.f90); CC_DENSITY(ccib.f90); INITIALIZE_HVAC(hvac.f90); MOVE_IN_GAS(part.f90); UPDATE_DEVICES_1(dump.f90),
RHOS,mesh.f90:368,REAL(EB),3,mesh.f90:535,M%RHOS,mesh.f90:40,"deferred(:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1)",cell_centred_solution,45,41,CC_DENSITY(ccib.f90); DENSITY(mass.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); GET_RHOZZVECTOR_SCALAR_3D(ccib.f90); CC_BAROCLINIC_CORRECTION(ccib.f90); FILL_GCCUTCELL_SPECIES(ccib.f90),
MU,mesh.f90:369,REAL(EB),3,mesh.f90:540,M%MU,mesh.f90:41,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,26,25,COMPUTE_VISCOSITY(velo.f90); CC_EDGE_TAU_OMG(ccib.f90); VELOCITY_FLUX(velo.f90); CC_CONDUCTION_HEAT_FLUX(ccib.f90); CC_CUTEDGE_DUIDXJ_TAU_OMG(ccib.f90); CC_RCEDGE_DUIDXJ(ccib.f90),
MU_DNS,mesh.f90:369,REAL(EB),3,mesh.f90:541,M%MU_DNS,mesh.f90:42,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,12,12,CC_CONDUCTION_HEAT_FLUX(ccib.f90); CC_DIFFUSIVE_MASS_FLUXES(ccib.f90); COMPUTE_VISCOSITY(velo.f90); DIVERGENCE_PART_1(divg.f90); GAS_PHASE_OUTPUT(dump.f90); CC_COMPUTE_VISCOSITY(ccib.f90),
TMP,mesh.f90:369,REAL(EB),3,mesh.f90:536,M%TMP,mesh.f90:43,"deferred(:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1)",cell_centred_solution,49,44,TENSOR_DIFFUSIVITY_MODEL(turb.f90); CCENTHALPY_ADVECTION(ccib.f90); GAS_PHASE_OUTPUT(dump.f90); DIVERGENCE_PART_1(divg.f90); CC_DENSITY(ccib.f90); CC_EDGE_TAU_OMG(ccib.f90),
Q,mesh.f90:369,REAL(EB),3,mesh.f90:546,M%Q,mesh.f90:44,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,19,17,RADIATION_FVM(radi.f90); COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); GAS_PHASE_OUTPUT(dump.f90); ADD_VOLUMETRIC_HEAT_SOURCE(radi.f90); SOOT_SURFACE_OXIDATION(soot.f90); INIT_CUTCELL_DATA(ccib.f90),
KAPPA_GAS,mesh.f90:369,REAL(EB),3,mesh.f90:553,M%KAPPA_GAS,mesh.f90:45,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",radiation,3,3,RADIATION_FVM(radi.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90),
CHI_R,mesh.f90:369,REAL(EB),3,mesh.f90:548,M%CHI_R,mesh.f90:46,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",radiation,10,9,COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); RADIATION_FVM(radi.f90); GAS_PHASE_OUTPUT(dump.f90); DUMP_RESTART(dump.f90); READ_RESTART(dump.f90); GET_SMOKE3D_QQ(dump.f90),
QR,mesh.f90:369,REAL(EB),3,mesh.f90:549,M%QR,mesh.f90:47,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",radiation,11,9,RADIATION_FVM(radi.f90); INIT_CUTCELL_DATA(ccib.f90); DIVERGENCE_PART_1(divg.f90); CCCOMPUTE_RADIATION(ccib.f90); CC_DIVERGENCE_PART_1(ccib.f90); DUMP_RESTART(dump.f90),
QR_W,mesh.f90:369,REAL(EB),3,mesh.f90:550,M%QR_W,mesh.f90:48,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",radiation,4,4,RADIATION_FVM(radi.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); PARTICLE_MASS_ENERGY_TRANSFER(part.f90),
RADIATION_EMISSION,mesh.f90:369,REAL(EB),3,mesh.f90:551,M%RADIATION_EMISSION,mesh.f90:49,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",radiation,3,3,RADIATION_FVM(radi.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90),
RADIATION_ABSORPTION,mesh.f90:369,REAL(EB),3,mesh.f90:552,M%RADIATION_ABSORPTION,mesh.f90:50,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",radiation,3,3,RADIATION_FVM(radi.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90),
UII,mesh.f90:369,REAL(EB),3,mesh.f90:554,M%UII,mesh.f90:51,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",radiation,7,4,RADIATION_FVM(radi.f90); GAS_PHASE_OUTPUT(dump.f90); TMP_INIT(init.f90); SPEC_INIT(init.f90); DUMP_RESTART(dump.f90); READ_RESTART(dump.f90),
RSUM,mesh.f90:369,REAL(EB),3,mesh.f90:563,M%RSUM,mesh.f90:52,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,17,13,CC_DENSITY(ccib.f90); GAS_PHASE_OUTPUT(dump.f90); DENSITY(mass.f90); SURFACE_HEAT_TRANSFER(wall.f90); CC_DIVERGENCE_PART_1(ccib.f90); DIVERGENCE_PART_1(divg.f90),
D_SOURCE,mesh.f90:369,REAL(EB),3,mesh.f90:562,M%D_SOURCE,mesh.f90:53,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,17,15,SOOT_SURFACE_OXIDATION(soot.f90); DEPOSIT_PARTICLE_MASS(wall.f90); COPY_UNST_DM_TO_CART(ccib.f90); INIT_CUTCELL_DATA(ccib.f90); CONDENSATION_EVAPORATION(fire.f90); PARTICLE_MASS_ENERGY_TRANSFER(part.f90),
CSD2,mesh.f90:370,REAL(EB),3,mesh.f90:543,M%CSD2,mesh.f90:54,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,4,4,VARDEN_DYNSMAG(turb.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); COMPUTE_VISCOSITY(velo.f90),
MTR,mesh.f90:370,REAL(EB),3,,,,,,0,0,,never re-pointed by POINT_TO_MESH; not a MESH_TYPE component
MSR,mesh.f90:370,REAL(EB),3,,,,,,0,0,,never re-pointed by POINT_TO_MESH; not a MESH_TYPE component
WEM,mesh.f90:370,REAL(EB),3,,,,,,0,0,,never re-pointed by POINT_TO_MESH; not a MESH_TYPE component
MIX_TIME,mesh.f90:370,REAL(EB),3,mesh.f90:545,M%MIX_TIME,mesh.f90:58,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,4,4,GAS_PHASE_OUTPUT(dump.f90); COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); GATHER_CELLS_FROM_MPI_PROCESSES(fire.f90); POINT_TO_MESH(mesh.f90),
CHEM_SUBIT,mesh.f90:370,REAL(EB),3,mesh.f90:537,M%CHEM_SUBIT,mesh.f90:55,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,4,4,GAS_PHASE_OUTPUT(dump.f90); COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); GATHER_CELLS_FROM_MPI_PROCESSES(fire.f90); POINT_TO_MESH(mesh.f90),
STRAIN_RATE,mesh.f90:370,REAL(EB),3,mesh.f90:544,M%STRAIN_RATE,mesh.f90:59,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,6,6,COMPUTE_VISCOSITY(velo.f90); COMPUTE_STRAIN_RATE(velo.f90); GAS_PHASE_OUTPUT(dump.f90); COMBUSTION_MODEL(fire.f90); POINT_TO_MESH(mesh.f90); VARDEN_DYNSMAG(turb.f90),
D_Z_MAX,mesh.f90:370,REAL(EB),3,mesh.f90:542,M%D_Z_MAX,mesh.f90:60,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",cell_centred_solution,6,6,TENSOR_DIFFUSIVITY_MODEL(turb.f90); DIVERGENCE_PART_1(divg.f90); CHECK_CFLVN_LINKED_CELLS(ccib.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); CHECK_STABILITY(velo.f90),
PP_RESIDUAL,mesh.f90:370,REAL(EB),3,mesh.f90:555,M%PP_RESIDUAL,mesh.f90:61,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",other,4,4,GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); PRESSURE_SOLVER_CHECK_RESIDUALS(pres.f90); PRESSURE_SOLVER_CHECK_RESIDUALS_U(pres.f90),
LES_FILTER_WIDTH,mesh.f90:370,REAL(EB),3,mesh.f90:556,M%LES_FILTER_WIDTH,mesh.f90:62,"deferred(:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1)",grid_geometry,7,7,GAS_PHASE_OUTPUT(dump.f90); COMPUTE_VISCOSITY(velo.f90); COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); DISTRIBUTE_CELLS_ACCROSS_MPI_PROCESSES(fire.f90); CC_COMPUTE_VISCOSITY(ccib.f90); POINT_TO_MESH(mesh.f90),
ZZ,mesh.f90:371,REAL(EB),4,mesh.f90:564,M%ZZ,mesh.f90:64,"deferred(:,:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1,N_TOTAL_SCALARS)",cell_centred_solution,53,47,GAS_PHASE_OUTPUT(dump.f90); DENSITY(mass.f90); CC_DENSITY(ccib.f90); RADIATION_FVM(radi.f90); SPEC_INIT(init.f90); SAAD_MMS_1(turb.f90),
ZZS,mesh.f90:371,REAL(EB),4,mesh.f90:565,M%ZZS,mesh.f90:65,"deferred(:,:,:,:); allocated as (-1:IBP1+1,-1:JBP1+1,-1:KBP1+1,N_TOTAL_SCALARS)",cell_centred_solution,27,27,DENSITY(mass.f90); CC_DENSITY(ccib.f90); GET_RHOZZVECTOR_SCALAR_3D(ccib.f90); FILL_GCCUTCELL_SPECIES(ccib.f90); CC_COMPUTE_VISCOSITY(ccib.f90); ROTATED_CUBE_RHS_ZZ(ccib.f90),
REAC_SOURCE_TERM,mesh.f90:371,REAL(EB),4,mesh.f90:566,M%REAC_SOURCE_TERM,mesh.f90:66,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_TRACKED_SPECIES)",cell_centred_solution,4,4,GAS_PHASE_OUTPUT(dump.f90); COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); SET_SPECIES_SOURCE_TERM_CELL(fire.f90); POINT_TO_MESH(mesh.f90),
DEL_RHO_D_DEL_Z,mesh.f90:371,REAL(EB),4,mesh.f90:567,M%DEL_RHO_D_DEL_Z,mesh.f90:67,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_TOTAL_SCALARS)",cell_centred_solution,10,9,CC_DIFFUSIVE_HEAT_FLUXES(ccib.f90); CC_DIVERGENCE_PART_1(ccib.f90); DIVERGENCE_PART_1(divg.f90); DENSITY(mass.f90); SETTLING_VELOCITY(soot.f90); GET_EXPLICIT_ADVDIFFVECTOR_SCALAR_3D(ccib.f90),
FX,mesh.f90:371,REAL(EB),4,mesh.f90:568,M%FX,mesh.f90:68,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS)",face_centred_flux,6,6,MASS_FINITE_DIFFERENCES(mass.f90); DENSITY(mass.f90); SETTLING_VELOCITY(soot.f90); SURFACE_HEAT_TRANSFER(wall.f90); SET_EXIMADVFLX_3D(ccib.f90); POINT_TO_MESH(mesh.f90),
FY,mesh.f90:371,REAL(EB),4,mesh.f90:569,M%FY,mesh.f90:69,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS)",face_centred_flux,6,6,MASS_FINITE_DIFFERENCES(mass.f90); DENSITY(mass.f90); SETTLING_VELOCITY(soot.f90); SURFACE_HEAT_TRANSFER(wall.f90); SET_EXIMADVFLX_3D(ccib.f90); POINT_TO_MESH(mesh.f90),
FZ,mesh.f90:371,REAL(EB),4,mesh.f90:570,M%FZ,mesh.f90:70,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS)",face_centred_flux,6,6,MASS_FINITE_DIFFERENCES(mass.f90); DENSITY(mass.f90); SETTLING_VELOCITY(soot.f90); SURFACE_HEAT_TRANSFER(wall.f90); SET_EXIMADVFLX_3D(ccib.f90); POINT_TO_MESH(mesh.f90),
SWORK1,mesh.f90:372,REAL(EB),4,mesh.f90:584,M%SWORK1,mesh.f90:113,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS)",scratch_work,8,8,SET_EXIMRHOZZLIM_3D(ccib.f90); DIVERGENCE_PART_1(divg.f90); SPECIES_ADVECTION_PART_1_NEW(divg.f90); SPECIES_ADVECTION_PART_2(divg.f90); CONDENSATION_EVAPORATION(fire.f90); POINT_TO_MESH(mesh.f90),
SWORK2,mesh.f90:372,REAL(EB),4,mesh.f90:585,M%SWORK2,mesh.f90:114,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS)",scratch_work,6,6,SET_EXIMRHOZZLIM_3D(ccib.f90); DIVERGENCE_PART_1(divg.f90); SPECIES_ADVECTION_PART_1_NEW(divg.f90); SPECIES_ADVECTION_PART_2(divg.f90); POINT_TO_MESH(mesh.f90); TENSOR_DIFFUSIVITY_MODEL(turb.f90),
SWORK3,mesh.f90:372,REAL(EB),4,mesh.f90:586,M%SWORK3,mesh.f90:115,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LOWER_SCALARS:N_TOTAL_SCALARS)",scratch_work,6,6,SET_EXIMRHOZZLIM_3D(ccib.f90); DIVERGENCE_PART_1(divg.f90); SPECIES_ADVECTION_PART_1_NEW(divg.f90); SPECIES_ADVECTION_PART_2(divg.f90); POINT_TO_MESH(mesh.f90); TENSOR_DIFFUSIVITY_MODEL(turb.f90),
SWORK4,mesh.f90:372,REAL(EB),4,mesh.f90:587,M%SWORK4,mesh.f90:116,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,1:N_TOTAL_SCALARS)",scratch_work,2,2,DENSITY(mass.f90); POINT_TO_MESH(mesh.f90),
Q_REAC,mesh.f90:373,REAL(EB),4,mesh.f90:547,M%Q_REAC,mesh.f90:71,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_REACTIONS)",cell_centred_solution,4,4,GAS_PHASE_OUTPUT(dump.f90); COMBUSTION_GENERAL_LOAD_BALANCED(fire.f90); SET_SPECIES_SOURCE_TERM_CELL(fire.f90); POINT_TO_MESH(mesh.f90),
AVG_DROP_DEN,mesh.f90:373,REAL(EB),4,mesh.f90:558,M%AVG_DROP_DEN,mesh.f90:72,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES)",particle,4,4,GAS_PHASE_OUTPUT(dump.f90); PARTICLE_RUNNING_AVERAGES(part.f90); MOVE_IN_GAS(part.f90); POINT_TO_MESH(mesh.f90),
AVG_DROP_TMP,mesh.f90:373,REAL(EB),4,mesh.f90:560,M%AVG_DROP_TMP,mesh.f90:73,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES)",particle,4,4,PARTICLE_RUNNING_AVERAGES(part.f90); GAS_PHASE_OUTPUT(dump.f90); POINT_TO_MESH(mesh.f90); RADIATION_FVM(radi.f90),
AVG_DROP_RAD,mesh.f90:373,REAL(EB),4,mesh.f90:561,M%AVG_DROP_RAD,mesh.f90:74,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES)",particle,5,5,GAS_PHASE_OUTPUT(dump.f90); MOVE_IN_GAS(part.f90); RADIATION_FVM(radi.f90); POINT_TO_MESH(mesh.f90); PARTICLE_RUNNING_AVERAGES(part.f90),
AVG_DROP_AREA,mesh.f90:373,REAL(EB),4,mesh.f90:559,M%AVG_DROP_AREA,mesh.f90:75,"deferred(:,:,:,:); allocated as (0:IBP1,0:JBP1,0:KBP1,N_LP_ARRAY_INDICES)",particle,6,6,GAS_PHASE_OUTPUT(dump.f90); PARTICLE_MASS_ENERGY_TRANSFER(part.f90); PARTICLE_RUNNING_AVERAGES(part.f90); RADIATION_FVM(radi.f90); POINT_TO_MESH(mesh.f90); MOVE_IN_GAS(part.f90),
