kind,file,line,routine,phase,call,variables,mpi_op,datatype,order_dependent,feeds,physics_or_output_only,feeds_src,per_process_presum,notes
mpi_collective,ccib.f90,16477,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,DIVVOLIJKMNX,SUM,MPI_INTEGER,no (integer SUM is exact),CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16479,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,DIVVOLICJCMNX,SUM,MPI_INTEGER,no (integer SUM is exact),CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16481,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,DIVICJCMNX,SUM,MPI_INTEGER,no (integer SUM is exact),CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,16482,CC_CHECK_DIVERGENCE,runtime+setup,MPI_ALLREDUCE,RESICJCMX,SUM,MPI_INTEGER,no (integer SUM is exact),CC divergence diagnostics (per-mesh slots; SUM used as gather),output_only,ccib.f90:16466-16482,, | each mesh slot has one non-zero contributor
mpi_collective,ccib.f90,23099,GET_LINKED_MATRIX_INDEXES_Z,setup,MPI_ALLREDUCE,NUNKZ_TOT,SUM,MPI_INTEGER,no (integer SUM is exact),control flag / integer bookkeeping (NUNKZ_TOT),bookkeeping,ccib.f90:23099,ccib.f90:22991; ccib.f90:23009; ccib.f90:23024,
mpi_collective,dump.f90,2688,WRITE_SMOKEVIEW_FILE,setup,MPI_EXSCAN,OFFSET,SUM,MPI_INTEGER,no (integer SUM is exact),Smokeview .smv file,output_only,dump.f90:2688-2731,,
mpi_collective,dump.f90,2706,WRITE_SMOKEVIEW_FILE,setup,MPI_GATHERV,RECV_USE_LEN,gather,MPI_INTEGER,no (gather; any later serial reduction is listed separately),Smokeview .smv file,output_only,dump.f90:2688-2731,,
mpi_collective,dump.f90,2717,WRITE_SMOKEVIEW_FILE,setup,MPI_GATHERV,STR_GATHER,gather,MPI_CHARACTER,no (gather; any later serial reduction is listed separately),Smokeview .smv file,output_only,dump.f90:2688-2731,,
mpi_collective,dump.f90,2726,WRITE_SMOKEVIEW_FILE,setup,MPI_GATHERV,RECV_USE_LEN,gather,MPI_INTEGER,no (gather; any later serial reduction is listed separately),Smokeview .smv file,output_only,dump.f90:2688-2731,,
mpi_collective,dump.f90,2731,WRITE_SMOKEVIEW_FILE,setup,MPI_GATHERV,STR_GATHER,gather,MPI_CHARACTER,no (gather; any later serial reduction is listed separately),Smokeview .smv file,output_only,dump.f90:2688-2731,,
mpi_collective,fire.f90,189,COMBUSTION_GENERAL_LOAD_BALANCED,runtime,MPI_ALLGATHER,NCHEM_ACTIVE_CELLS_AND_CC_RANK_WISE,gather,MPI_INTEGER,no (gather; any later serial reduction is listed separately),control flag / integer bookkeeping (NCHEM_ACTIVE_CELLS_AND_CC_RANK_WISE),bookkeeping,fire.f90:189,fire.f90:131; fire.f90:165,
mpi_collective,fire.f90,1303,DUMP_CVODE_WARNING_SUMMARY,runtime,MPI_ALLREDUCE,CVODE_WARNING_CELLS,SUM,MPI_INTEGER,no (integer SUM is exact),CVODE warning summary,output_only,fire.f90:1303-1306,,
mpi_collective,fire.f90,1306,DUMP_CVODE_WARNING_SUMMARY,runtime,MPI_ALLREDUCE,NCHEM_ACTIVE_CELLS_AND_CC_GLOBAL,SUM,MPI_INTEGER,no (integer SUM is exact),CVODE warning summary,output_only,fire.f90:1303-1306,,
mpi_collective,func.f90,5338,EXCHANGE_GEOMETRY_INFO,runtime+setup,MPI_ALLGATHERV,CELL_COUNT,gather,MPI_INTEGER,no (gather; any later serial reduction is listed separately),control flag / integer bookkeeping (CELL_COUNT),bookkeeping,func.f90:5338,dump.f90:3087,
mpi_collective,func.f90,5339,EXCHANGE_GEOMETRY_INFO,runtime+setup,MPI_ALLGATHERV,CELL_COUNT_INTEGERS,gather,MPI_INTEGER,no (gather; any later serial reduction is listed separately),control flag / integer bookkeeping (CELL_COUNT_INTEGERS),bookkeeping,func.f90:5339,,
mpi_collective,func.f90,5340,EXCHANGE_GEOMETRY_INFO,runtime+setup,MPI_ALLGATHERV,CELL_COUNT_LOGICALS,gather,MPI_INTEGER,no (gather; any later serial reduction is listed separately),control flag / integer bookkeeping (CELL_COUNT_LOGICALS),bookkeeping,func.f90:5340,,
mpi_collective,geom.f90,5546,CHECK_WALL_CELL_PLANE_MATCH,setup,MPI_ALLREDUCE,BUFF,SUM,MPI_INTEGER,no (integer SUM is exact),control flag / integer bookkeeping (BUFF),bookkeeping,geom.f90:5546,,
mpi_collective,geom.f90,12128,GET_EXT_INB_CUTFACES_TO_CFACE,setup,MPI_ALLREDUCE,NCFACE_BY_MESH,SUM,MPI_INTEGER,no (integer SUM is exact),control flag / integer bookkeeping (NCFACE_BY_MESH),bookkeeping,geom.f90:12128,geom.f90:12084; geom.f90:12114; geom.f90:12123,
mpi_collective,geom.f90,12310,GET_EXT_INB_CUTFACES_TO_CFACE,setup,MPI_ALLREDUCE,FDS_AREA_GEOM,SUM,MPI_DOUBLE_PRECISION,yes,GEOM VOLUME_FLOW normal velocity U_NORMAL_0 (setup),physics,geom.f90:6706,geom.f90:12306,guard: N_GEOMETRY>0
mpi_collective,geom.f90,14619,CC_GRID_UPDATE_INBOUNDARY_AREA_ADJUST,setup,MPI_ALLREDUCE,GEOM_AREA_SURF_OLD,SUM,MPI_DOUBLE_PRECISION,yes,GEOM in-boundary CFACE area adjustment ratio (setup),physics,geom.f90:14626,geom.f90:14345,
mpi_collective,geom.f90,14620,CC_GRID_UPDATE_INBOUNDARY_AREA_ADJUST,setup,MPI_ALLREDUCE,GEOM_AREA_SURF_NEW,SUM,MPI_DOUBLE_PRECISION,yes,GEOM in-boundary CFACE area adjustment ratio (setup),physics,geom.f90:14626,geom.f90:14401,
mpi_collective,geom.f90,14759,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,CF_AREA_INB,SUM,MPI_DOUBLE_PRECISION,yes,CC grid verbose summary,output_only,geom.f90:14759-14857,geom.f90:14720,
mpi_collective,geom.f90,14776,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,CC_VOLUME_INB,SUM,MPI_DOUBLE_PRECISION,yes,CC grid verbose summary,output_only,geom.f90:14759-14857,geom.f90:14731,
mpi_collective,geom.f90,14779,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,GP_VOLUME,SUM,MPI_DOUBLE_PRECISION,yes,CC grid verbose summary,output_only,geom.f90:14759-14857,geom.f90:14739,
mpi_collective,geom.f90,14782,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,DM_VOLUME,SUM,MPI_DOUBLE_PRECISION,yes,CC grid verbose summary,output_only,geom.f90:14759-14857,geom.f90:14749,
mpi_collective,geom.f90,14785,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,CCGP_XYZCEN,SUM,MPI_DOUBLE_PRECISION,yes,CC grid verbose summary,output_only,geom.f90:14759-14857,geom.f90:14726; geom.f90:14740; geom.f90:14741; geom.f90:14742,
mpi_collective,geom.f90,14788,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,DM_XYZCEN,SUM,MPI_DOUBLE_PRECISION,yes,CC grid verbose summary,output_only,geom.f90:14759-14857,geom.f90:14751; geom.f90:14752; geom.f90:14753,
mpi_collective,geom.f90,14835,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,GEOM_AREA_SURF,SUM,MPI_DOUBLE_PRECISION,yes,CC grid verbose summary,output_only,geom.f90:14759-14857,geom.f90:14831,
mpi_collective,geom.f90,14836,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,GEOM_SURF,SUM,MPI_INTEGER,no (integer SUM is exact),CC grid verbose summary,output_only,geom.f90:14759-14857,,
mpi_collective,geom.f90,14856,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,N_SPCELLCF_TOT,SUM,MPI_INTEGER,no (integer SUM is exact),CC grid verbose summary,output_only,geom.f90:14759-14857,geom.f90:14849,
mpi_collective,geom.f90,14857,CC_GRID_WRITE_VERBOSE_SUMMARY,setup,MPI_ALLREDUCE,N_SPCELL_TOT,SUM,MPI_INTEGER,no (integer SUM is exact),CC grid verbose summary,output_only,geom.f90:14759-14857,geom.f90:14850,
mpi_collective,hvac.f90,1072,PROC_HVAC,setup,MPI_ALLREDUCE,STOP_STATUS,MAX,MPI_INTEGER,no,control flag / integer bookkeeping (STOP_STATUS),bookkeeping,hvac.f90:1072,,guard: N_MPI_PROCESSES>1
mpi_collective,hvac.f90,1076,PROC_HVAC,setup,MPI_ALLREDUCE,FOUND,LOR,MPI_LOGICAL,no,control flag / integer bookkeeping (FOUND),bookkeeping,hvac.f90:1076,,
mpi_collective,hvac.f90,1081,PROC_HVAC,setup,MPI_ALLREDUCE,DN%XYZ,MAX,MPI_DOUBLE_PRECISION,no,HVAC node coordinates (setup),physics,hvac.f90:1081-1083,,
mpi_collective,hvac.f90,1082,PROC_HVAC,setup,MPI_ALLREDUCE,DN%XYZ,MAX,MPI_DOUBLE_PRECISION,no,HVAC node coordinates (setup),physics,hvac.f90:1081-1083,,
mpi_collective,hvac.f90,1083,PROC_HVAC,setup,MPI_ALLREDUCE,DN%XYZ,MAX,MPI_DOUBLE_PRECISION,no,HVAC node coordinates (setup),physics,hvac.f90:1081-1083,,
mpi_collective,main.f90,161,FDS,setup(program body),MPI_ALLGATHERV,MAX_CELL_ASPECT_RATIO,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),CFL_VELOCITY_NORM switch (aspect ratio > 3.99),dt_control,main.f90:163,read.f90:1460,
mpi_collective,main.f90,418,FDS,setup(program body),MPI_ALLREDUCE,SYNTHETIC_EDDY_METHOD,LOR,MPI_LOGICAL,no,control flag / integer bookkeeping (SYNTHETIC_EDDY_METHOD),bookkeeping,main.f90:418,,guard: N_MPI_PROCESSES>1
mpi_collective,main.f90,541,FDS,setup(program body),MPI_ALLREDUCE,TGA_MESH_INDEX,MIN,MPI_INTEGER,no,control flag / integer bookkeeping (TGA_MESH_INDEX),bookkeeping,main.f90:541,,
mpi_collective,main.f90,738,FDS,runtime(MAIN_LOOP),MPI_ALLGATHERV,DT_NEW,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),time step: DT = MINVAL(DT_NEW),dt_control,main.f90:741,,
mpi_collective,main.f90,799,FDS,runtime(MAIN_LOOP),MPI_ALLREDUCE,EXCHANGE_INSERTED_PARTICLES,LOR,MPI_LOGICAL,no,control flag / integer bookkeeping (EXCHANGE_INSERTED_PARTICLES),bookkeeping,main.f90:799,,
mpi_collective,main.f90,882,FDS,runtime(MAIN_LOOP),MPI_ALLGATHERV,CHANGE_TIME_STEP_INDEX,gather,MPI_INTEGER,no (gather; any later serial reduction is listed separately),time step: DT = MINVAL(DT_NEW),dt_control,main.f90:741,,
mpi_collective,main.f90,884,FDS,runtime(MAIN_LOOP),MPI_ALLGATHERV,DT_NEW,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),time step: DT = MINVAL(DT_NEW),dt_control,main.f90:741,,guard: ANY(CHANGE_TIME_STEP_INDEX==-1) .OR. ALL(CHANGE_TIME_STEP_INDEX==1)
mpi_collective,main.f90,1187,FDS,runtime(MAIN_LOOP),MPI_ALLGATHERV,RADIATION_COMPLETED,gather,MPI_LOGICAL,no (gather; any later serial reduction is listed separately),radiation update bookkeeping,bookkeeping,main.f90:1187,,
mpi_collective,main.f90,1587,FDS::MPI_INITIALIZATION_CHORES,setup,MPI_ALLREDUCE,EXCHANGE_OBST_MASS,LOR,MPI_LOGICAL,no,control flag / integer bookkeeping (EXCHANGE_OBST_MASS),bookkeeping,main.f90:1587,,
mpi_collective,main.f90,1702,FDS::PRESSURE_ITERATION_SCHEME,runtime,MPI_ALLGATHERV,REAL_BUFFER_10,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),pressure-iteration convergence (velocity/pressure error maxima),dt_control,main.f90:1706-1709,, | max-based; controls iteration count
mpi_collective,main.f90,1760,FDS::CALCULATE_RTE_SOURCE_CORRECTION_FACTOR,runtime,MPI_ALLREDUCE,RAD_Q_SUM,SUM,MPI_DOUBLE_PRECISION,yes,RTE_SOURCE_CORRECTION_FACTOR (radiative source correction),physics,main.f90:1767,radi.f90:4040; radi.f90:4076; radi.f90:4120,
mpi_collective,main.f90,1761,FDS::CALCULATE_RTE_SOURCE_CORRECTION_FACTOR,runtime,MPI_ALLREDUCE,KFST4_SUM,SUM,MPI_DOUBLE_PRECISION,yes,RTE_SOURCE_CORRECTION_FACTOR (radiative source correction),physics,main.f90:1767,radi.f90:4041; radi.f90:4077; radi.f90:4121,
mpi_collective,main.f90,1788,FDS::CREATE_OR_REMOVE_OBSTRUCTIONS,runtime+setup,MPI_ALLREDUCE,OBST_CREATED_OR_REMOVED,LOR,MPI_LOGICAL,no,control flag / integer bookkeeping (OBST_CREATED_OR_REMOVED),bookkeeping,main.f90:1788,,
mpi_collective,main.f90,1868,FDS::WRITE_CFL_FILE,runtime,MPI_GATHERV,REAL_BUFFER_20,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),CFL file,output_only,main.f90:1868-1871,,
mpi_collective,main.f90,1871,FDS::WRITE_CFL_FILE,runtime,MPI_GATHERV,REAL_BUFFER_20,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),CFL file,output_only,main.f90:1868-1871,,
mpi_collective,main.f90,1903,FDS::STOP_CHECK,runtime+setup,MPI_ALLREDUCE,STOP_STATUS,MAX,MPI_INTEGER,no,control flag / integer bookkeeping (STOP_STATUS),bookkeeping,main.f90:1903,,
mpi_collective,main.f90,2038,FDS::EXCHANGE_DIVERGENCE_INFO,runtime+setup,MPI_ALLREDUCE,DSUM,SUM,MPI_DOUBLE_PRECISION,yes,D_PBAR_DT (zone background-pressure rise) and the divergence zone correction,physics,"divg.f90:1519-1520, 1535-1537",divg.f90:739,
mpi_collective,main.f90,2039,FDS::EXCHANGE_DIVERGENCE_INFO,runtime+setup,MPI_ALLREDUCE,PSUM,SUM,MPI_DOUBLE_PRECISION,yes,D_PBAR_DT (zone background-pressure rise) and the divergence zone correction,physics,"divg.f90:1519-1520, 1535-1537","divg.f90:750; divg.f90:745 (ADD_CUTCELL_PSUM, ccib.f90:739); divg.f90:747 (ADD_LINKEDCELL_PSUM, ccib.f90:719)",
mpi_collective,main.f90,2040,FDS::EXCHANGE_DIVERGENCE_INFO,runtime+setup,MPI_ALLREDUCE,USUM,SUM,MPI_DOUBLE_PRECISION,yes,D_PBAR_DT (zone background-pressure rise) and the divergence zone correction,physics,"divg.f90:1519-1520, 1535-1537",divg.f90:765; divg.f90:766; divg.f90:776; divg.f90:777; divg.f90:1506,
mpi_collective,main.f90,2046,FDS::EXCHANGE_DIVERGENCE_INFO,runtime+setup,MPI_ALLREDUCE,CONNECTED_ZONES,MAX,MPI_INTEGER,no,control flag / integer bookkeeping (CONNECTED_ZONES),bookkeeping,main.f90:2046,,guard: N_MPI_PROCESSES>1
mpi_collective,main.f90,2644,FDS::INITIALIZE_PRESSURE_ZONES,setup,MPI_ALLREDUCE,STOP_STATUS,MAX,MPI_INTEGER,no,control flag / integer bookkeeping (STOP_STATUS),bookkeeping,main.f90:2644,,
mpi_collective,main.f90,2676,FDS::INITIALIZE_PRESSURE_ZONES,setup,MPI_ALLREDUCE,FOUND_UNASSIGNED_CELL,LOR,MPI_LOGICAL,no,control flag / integer bookkeeping (FOUND_UNASSIGNED_CELL),bookkeeping,main.f90:2676,,
mpi_collective,main.f90,2719,FDS::INITIALIZE_PRESSURE_ZONES,setup,MPI_ALLREDUCE,INTEGER_BUFFER,MAX,MPI_INTEGER,no,control flag / integer bookkeeping (INTEGER_BUFFER),bookkeeping,main.f90:2719,,
mpi_collective,main.f90,2731,FDS::INITIALIZE_PRESSURE_ZONES,setup,MPI_ALLREDUCE,REAL_BUFFER,SUM,MPI_DOUBLE_PRECISION,yes,Pressure-zone volumes P_ZONE%VOLUME (setup),physics,main.f90:2735,"main.f90:2699 (P_ZONE%VOLUME, copied to REAL_BUFFER before the reduce)", | pre-sum P_ZONE%VOLUME at main.f90:2699
mpi_collective,main.f90,2732,FDS::INITIALIZE_PRESSURE_ZONES,setup,MPI_ALLREDUCE,INTEGER_BUFFER,SUM,MPI_INTEGER,no (integer SUM is exact),control flag / integer bookkeeping (INTEGER_BUFFER),bookkeeping,main.f90:2732,,
mpi_collective,main.f90,2733,FDS::INITIALIZE_PRESSURE_ZONES,setup,MPI_ALLREDUCE,INTEGER_BUFFER_4,MAX,MPI_INTEGER,no,control flag / integer bookkeeping (INTEGER_BUFFER_4),bookkeeping,main.f90:2733,,
mpi_collective,main.f90,2931,FDS::ZONE_BOUNDARY_EXCHANGE,setup,MPI_ALLREDUCE,STOP_STATUS,MAX,MPI_INTEGER,no,control flag / integer bookkeeping (STOP_STATUS),bookkeeping,main.f90:2931,,
mpi_collective,main.f90,2934,FDS::ZONE_BOUNDARY_EXCHANGE,setup,MPI_ALLGATHERV,SETUP_PRESSURE_ZONES_INDEX,gather,MPI_INTEGER,no (gather; any later serial reduction is listed separately),control flag / integer bookkeeping (SETUP_PRESSURE_ZONES_INDEX),bookkeeping,main.f90:2934,,
mpi_collective,main.f90,4411,FDS::EXCHANGE_GLOBAL_OUTPUTS,runtime+setup,MPI_ALLREDUCE,STATE_ARRAY,LXOR,MPI_LOGICAL,no,DEVC/CTRL states,physics_via_devc,main.f90:4411,,guard: N_MPI_PROCESSES>1
mpi_collective,main.f90,4479,FDS::EXCHANGE_GLOBAL_OUTPUTS,runtime+setup,MPI_ALLREDUCE,TC_ARRAY,"SUM (MPI_OP_INDEX=MPI_SUM under CASE(1), main.f90:4442, 4478-4479)",MPI_DOUBLE_PRECISION,yes,"DEVC spatial statistics (DV%VALUE_1..4); feeds CTRL/setpoints, so physics when devices control vents, OBSTs, HVAC",physics_via_devc,main.f90:4494-4495,main.f90:4456; main.f90:4457; main.f90:4458; main.f90:4459, | per-mesh SUBDEVICE values are summed over subdevices first (main.f90:4452-4459)
mpi_collective,main.f90,4481,FDS::EXCHANGE_GLOBAL_OUTPUTS,runtime+setup,MPI_ALLREDUCE,TC2_ARRAY,"MINLOC/MAXLOC (MPI_OP_INDEX under CASE(2:3), main.f90:4443-4444, 4480-4481)",MPI_2DOUBLE_PRECISION,no (ties: lowest rank),DEVC MIN/MAX spatial statistics (MINLOC/MAXLOC),physics_via_devc,main.f90:4481,,
mpi_collective,main.f90,4602,FDS::DUMP_GLOBAL_OUTPUTS,runtime+setup,MPI_REDUCE,Q_DOT_SUM,SUM,MPI_DOUBLE_PRECISION,yes,HRR file (CHID_hrr.csv) integrals,output_only,main.f90:4602-4607; dump.f90:11815,dump.f90:11819,
mpi_collective,main.f90,4603,FDS::DUMP_GLOBAL_OUTPUTS,runtime+setup,MPI_REDUCE,M_DOT_SUM,SUM,MPI_DOUBLE_PRECISION,yes,HRR file (CHID_hrr.csv) integrals,output_only,main.f90:4602-4607; dump.f90:11815,dump.f90:11820,
mpi_collective,main.f90,4606,FDS::DUMP_GLOBAL_OUTPUTS,runtime+setup,MPI_REDUCE,Q_DOT_SUM,SUM,MPI_DOUBLE_PRECISION,yes,HRR file (CHID_hrr.csv) integrals,output_only,main.f90:4602-4607; dump.f90:11815,dump.f90:11819,
mpi_collective,main.f90,4607,FDS::DUMP_GLOBAL_OUTPUTS,runtime+setup,MPI_REDUCE,M_DOT_SUM,SUM,MPI_DOUBLE_PRECISION,yes,HRR file (CHID_hrr.csv) integrals,output_only,main.f90:4602-4607; dump.f90:11815,dump.f90:11820,
mpi_collective,main.f90,4638,FDS::DUMP_GLOBAL_OUTPUTS,runtime+setup,MPI_REDUCE,MASS_DT,SUM,MPI_DOUBLE_PRECISION,yes,mass file integrals,output_only,main.f90:4638-4641,dump.f90:11920,
mpi_collective,main.f90,4641,FDS::DUMP_GLOBAL_OUTPUTS,runtime+setup,MPI_REDUCE,MASS_DT,SUM,MPI_DOUBLE_PRECISION,yes,mass file integrals,output_only,main.f90:4638-4641,dump.f90:11920,
mpi_collective,main.f90,4979,FDS::EXCHANGE_HVAC_BC,runtime+setup,MPI_ALLREDUCE,NODE_PROPERTIES,SUM,MPI_DOUBLE_PRECISION,yes,HVAC node boundary conditions (area-weighted node state),physics,main.f90:4979; hvac.f90:1202-1205,"hvac.f90:2415-2533 (HVAC_BC_IN::INITIALIZE_HVAC, NODE_* => NODE_PROPERTIES columns, hvac.f90:1203-1205)", | per-process pre-sum in HVAC_BC_IN::INITIALIZE_HVAC over the own meshes (main.f90:815-822)
mpi_collective,main.f90,4980,FDS::EXCHANGE_HVAC_BC,runtime+setup,MPI_ALLREDUCE,NODE_ZONE,MAX,MPI_INTEGER,no,HVAC node pressure zone,physics,main.f90:4980,,
mpi_collective,main.f90,5047,FDS::CHECK_FREEZE_VELOCITY_STATUS,runtime,MPI_ALLREDUCE,FREEZE_VELOCITY,LOR,MPI_LOGICAL,no,control flag / integer bookkeeping (FREEZE_VELOCITY),bookkeeping,main.f90:5047,,
mpi_collective,main.f90,5048,FDS::CHECK_FREEZE_VELOCITY_STATUS,runtime,MPI_ALLREDUCE,SOLID_PHASE_ONLY,LOR,MPI_LOGICAL,no,control flag / integer bookkeeping (SOLID_PHASE_ONLY),bookkeeping,main.f90:5048,,
mpi_collective,main.f90,5059,FDS::EXCHANGE_VENT_AREA,setup,MPI_ALLREDUCE,VENT_TOTAL_AREA,SUM,MPI_DOUBLE_PRECISION,yes,Vent TOTAL_FDS_AREA -> B1%AREA_ADJUST of split vents (setup),physics,main.f90:5064; init.f90:3604,read.f90:12864,
mpi_collective,main.f90,5126,FDS::DEFINE_RS_COMM_INFO,setup,MPI_ALLREDUCE,N_MPI_RS,MAX,MPI_INTEGER,no,control flag / integer bookkeeping (N_MPI_RS),bookkeeping,main.f90:5126,,
mpi_collective,pres.f90,633,TUNNEL_POISSON_SOLVER,runtime,MPI_GATHERV,TP_AA,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),"tunnel preconditioner tridiagonal system (gathered, solved serially)",physics,pres.f90:633-647,, | gather only
mpi_collective,pres.f90,635,TUNNEL_POISSON_SOLVER,runtime,MPI_GATHERV,TP_BB,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),"tunnel preconditioner tridiagonal system (gathered, solved serially)",physics,pres.f90:633-647,, | gather only
mpi_collective,pres.f90,637,TUNNEL_POISSON_SOLVER,runtime,MPI_GATHERV,TP_CC,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),"tunnel preconditioner tridiagonal system (gathered, solved serially)",physics,pres.f90:633-647,pres.f90:550; pres.f90:551; pres.f90:552; pres.f90:553; pres.f90:611; pres.f90:614; pres.f90:621; pres.f90:624, | gather only
mpi_collective,pres.f90,639,TUNNEL_POISSON_SOLVER,runtime,MPI_GATHERV,TP_DD,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),"tunnel preconditioner tridiagonal system (gathered, solved serially)",physics,pres.f90:633-647,pres.f90:612; pres.f90:615; pres.f90:622; pres.f90:625, | gather only
mpi_collective,pres.f90,644,TUNNEL_POISSON_SOLVER,runtime,MPI_GATHERV,TP_AA,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),"tunnel preconditioner tridiagonal system (gathered, solved serially)",physics,pres.f90:633-647,, | gather only
mpi_collective,pres.f90,645,TUNNEL_POISSON_SOLVER,runtime,MPI_GATHERV,TP_BB,gather,MPI_DOUBLE_PRECISION,no (gather; any later serial reduction is listed separately),"tunnel preconditioner tridiagonal system (gathered, solved serially)",physics,pres.f90:633-647,, | gather only
